algorithm,dataset,extra_final_temperature,extra_generations,extra_iterations,extra_solver_wall_time_s,hard,seed,soft,status,wall_time_ms
CP-SAT,small_tight,,,,0.053846397000000004,0,2,5.614545454545454,OPTIMAL,56.17154999890772
CP-SAT,small_tight,,,,0.054936079000000006,0,3,5.614545454545454,OPTIMAL,57.28539900155738
CP-SAT,small_tight,,,,0.057935895,0,4,5.614545454545454,OPTIMAL,60.21159000010812
CP-SAT,small_tight,,,,0.0642757,0,5,5.614545454545454,OPTIMAL,66.57437800095067
CP-SAT,small_tight,,,,0.054118265000000006,0,6,5.614545454545454,OPTIMAL,56.421000001137145
CP-SAT,small_tight,,,,0.053389165,0,7,5.614545454545454,OPTIMAL,55.614179000258446
CP-SAT,small_tight,,,,0.060139710000000006,0,8,5.614545454545454,OPTIMAL,62.434301999019226
CP-SAT,small_tight,,,,0.058572827,0,9,5.614545454545454,OPTIMAL,60.75883000085014
CP-SAT,small_tight,,,,0.055722464000000006,0,10,5.614545454545454,OPTIMAL,58.02443799984758
CP-SAT,medium,,,,0.199070074,0,1,0.7991452991452991,OPTIMAL,203.5651650003274
CP-SAT,medium,,,,0.188385514,0,2,0.7991452991452991,OPTIMAL,193.27365799836116
CP-SAT,medium,,,,0.253907608,0,3,0.7991452991452991,OPTIMAL,260.13334299932467
CP-SAT,medium,,,,0.20512455100000002,0,4,0.7991452991452991,OPTIMAL,209.6426939988305
CP-SAT,medium,,,,0.24261790800000002,0,5,0.7991452991452991,OPTIMAL,247.87162500069826
CP-SAT,medium,,,,0.198084435,0,6,0.7991452991452991,OPTIMAL,202.71172899992962
CP-SAT,medium,,,,0.215285566,0,7,0.7991452991452991,OPTIMAL,220.4609510008595
CP-SAT,medium,,,,0.24387227400000003,0,8,0.7991452991452991,OPTIMAL,248.38563000048453
CP-SAT,medium,,,,0.202934993,0,9,0.7991452991452991,OPTIMAL,209.33138399959716
CP-SAT,medium,,,,0.19253229400000002,0,10,0.7991452991452991,OPTIMAL,197.06793899968034
CP-SAT,large_stress,,,,,,1,,INFEASIBLE,12.705411998467753
CP-SAT,large_stress,,,,,,2,,INFEASIBLE,12.879169000370894
CP-SAT,large_stress,,,,,,3,,INFEASIBLE,12.45952200042666
CP-SAT,large_stress,,,,,,4,,INFEASIBLE,12.97234099911293
CP-SAT,large_stress,,,,,,5,,INFEASIBLE,12.392814000122598
CP-SAT,large_stress,,,,,,6,,INFEASIBLE,12.62206100000185
CP-SAT,large_stress,,,,,,7,,INFEASIBLE,11.815174999355804
CP-SAT,large_stress,,,,,,8,,INFEASIBLE,12.278309999601333
CP-SAT,large_stress,,,,,,9,,INFEASIBLE,12.12009700066119
CP-SAT,large_stress,,,,,,10,,INFEASIBLE,12.366884000584832
